Position,Company,Description,Loc_state,Loc_city,Skills,Type,Source
Marvell",NA,Santa Clara,CA,NA,NA,NA
Data Science Intern,"
Huawei",NA,Santa Clara,CA,NA,NA,NA
Operations Research Data Scientist,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Quantitative Analytics Professional (Data Scientist),"
Freddie Mac",NA,McLean,VA,NA,NA,NA
Data Scientist,"
The Henry M. Jackson Foundation",NA,Bethesda,MD,NA,NA,NA
Data Scientist,"
Brookhaven National Laboratory",NA,Upton,NY,NA,NA,NA
Research Data Analyst 1,"
Stanford University",NA,Stanford,CA,NA,NA,NA
College Student Intern - Data Analytics,"
Lockheed Martin",NA,Fort Worth,TX,NA,NA,NA
Analytics Specialist- Operations Analysis & Performance Data Science,"
Delta Air Lines",NA,Atlanta,GA,NA,NA,NA
Data Science Scientific Programmer,"
Bristol-Myers Squibb",NA,Hopewell,NJ,NA,NA,NA
"Data Scientist, Analytics","
Facebook",NA,Menlo Park,CA,NA,NA,NA
Contract - Summer Intern in Adversarial Machine Learning,NA,NA,Malibu,CA,NA,NA,NA
Machine Learning Evangelist,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Machine Learning Model for Cancer Vaccine Design,"
Oak Ridge Associated Universities",NA,Oak Ridge,TN,NA,NA,NA
Failure Analysis Data Scientist,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
"Data Scientist, Internet Services Team","
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Data Scientist I,"
GEICO",NA,Chevy Chase,MD,NA,NA,NA
Specialized Statistical Programmer (Associate),"
Pfizer Inc.",NA,Groton,CT,NA,NA,NA
Data Scientist Bachelors (Intern) - United States,"
Cisco",NA,San Jose,CA,NA,NA,NA
Data Scientist - Machine Learning,"
Lockheed Martin",NA,Orlando,FL,NA,NA,NA
Data Scientist - Predictive Analytics,"
Schneider Electric",NA,Nashville,TN,NA,NA,NA
Data Scientist Intern,"
Amazon.com",NA,Seattle,WA,NA,NA,NA
Data Science Intern,"
KAYAK",NA,Cambridge,MA,NA,NA,NA
Data Scientist (Principal),"
C.H. Robinson",NA,Eden Prairie,MN,NA,NA,NA
Data Scientist,"
The Boston Consulting Group",NA,New York,NY,NA,NA,NA
Intern- Data Science,"
VMware",NA,Palo Alto,CA,NA,NA,NA
Data Scientist,"
LumenData",NA,Santa Clara,CA,NA,NA,NA
Data Scientist-Entry Level,"
Spring Venture Group",NA,Kansas City,MO,NA,NA,NA
Data Scientist Intern,"
Honeywell",NA,Golden Valley,MN,NA,NA,NA
Data Scientist Intern,"
Domtar",NA,Raleigh,NC,NA,NA,NA
Data Scientist Intern,"
Patheon Inc.",NA,Raleigh,NC,NA,NA,NA
Data Scientist,NA,NA,Dayton,OH,NA,NA,NA
Data Scientist,"
General Electric",NA,Evendale,OH,NA,NA,NA
Data Scientist Intern,"
NIKE INC",NA,Beaverton,OR,NA,NA,NA
Data Scientist,"
Coyote Logistics",NA,Chicago,IL,NA,NA,NA
Data Scientist Intern - Summer 2018,"
Walmart eCommerce",NA,San Bruno,CA,NA,NA,NA
Data Scientist,"
Best Buy",NA,Richfield,MN,NA,NA,NA
"2018 Summer Data Science Intern - Mountain View, CA",NA,NA,Mountain View,CA,NA,NA,NA
IT Data Scientist - Grid Analytics Intern,"
Qorvo",NA,San Jose,CA,NA,NA,NA
Data Scientist,"
VideoAmp",NA,Santa Monica,CA,NA,NA,NA
Machine Learning Intern,"
Xilinx",NA,San Jose,CA,NA,NA,NA
Data Scientist,"
Chef'd",NA,El Segundo,CA,NA,NA,NA
Data Scientist,"
Beyondsoft Consulting",NA,Redmond,WA,NA,NA,NA
Data Scientist AI/ML,"
Adobe",NA,San Jose,CA,NA,NA,NA
Machine Learning Modeling Engineer,"
Corning",NA,Corning,NY,NA,NA,NA
Data Analyst,"
Microsoft",NA,Redmond,WA,NA,NA,NA
Data Scientist/Data Wrangler,"
Lenovo",NA,Raleigh,NC,NA,NA,NA
Data Science Developer Intern – Full Time – Summer 2018,"
Arrow Electronics, Inc.",NA,McLean,VA,NA,NA,NA
Senior Data Scientist,"
Sumeru Solutions",NA,Palo Alto,CA,NA,NA,NA
Data Scientist,"
CACI",NA,Reston,VA,NA,NA,NA
Data Scientist,"
Navstar, Inc.",NA,Reston,VA,NA,NA,NA
Data Analyst IT - Intern (Spring Semester 2018),"
Panasonic North America",NA,Newark,NJ,NA,NA,NA
Data Scientist,NA,NA,Palo Alto,CA,NA,NA,NA
Data Scientist,"
SAP",NA,Palo Alto,CA,NA,NA,NA
Data Scientist,NA,NA,Palo Alto,CA,NA,NA,NA
Data Science Business Analyst,"
HP",NA,Houston,TX,NA,NA,NA
Data Scientist,"
Fanatics Inc.",NA,San Mateo,CA,NA,NA,NA
Data Analyst Intern- Summer 2018,"
Wolverine Trading",NA,Chicago,IL,NA,NA,NA
Data Scientist,"
Amazon.com",NA,Sunnyvale,CA,NA,NA,NA
Business Intelligence Data Scientist,"
Chipotle Mexican Grill",NA,Denver,CO,NA,NA,NA
"A&M Data Scientist, Junior","
Booz Allen Hamilton",NA,Washington,DC,NA,NA,NA
Data Scientist,"
Ford Motor Company",NA,Dearborn,MI,NA,NA,NA
Data Engineer,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Data Scientist,"
Fractal Analytics",NA,Jersey City,NJ,NA,NA,NA
Data Scientist-AI,"
Land O’Lakes, Inc.",NA,Arden Hills,MN,NA,NA,NA
Pre-Sales Data Scientist - Saffron AI,"
Intel",NA,San Francisco,CA,NA,NA,NA
Data Scientist - Deep Learning,"
Veeva",NA,Pleasanton,CA,NA,NA,NA
Senior Data Scientist,"
Microsoft",NA,Redmond,WA,NA,NA,NA
Data Scientist/Deep Learning Engineer,NA,NA,Aberdeen,MD,NA,NA,NA
Data Scientist (Security),"
McAfee",NA,Santa Clara,CA,NA,NA,NA
Data Science and Machine Learning Software Engineer,"
NetApp",NA,Sunnyvale,CA,NA,NA,NA
Associate Data Scientist,"
Infogix",NA,Naperville,IL,NA,NA,NA
Data Scientist,"
Infogix",NA,Naperville,IL,NA,NA,NA
Senior Data Scientist,"
Avvo",NA,Seattle,WA,NA,NA,NA
"Data Scientist, Marketing","
eBay Inc.",NA,San Jose,CA,NA,NA,NA
Lead Machine Learning Developer,"
Staples",NA,Framingham,MA,NA,NA,NA
Senior Data Scientist/Neural Network Analyst-TS/SCI,"
NT Concepts",NA,Mountain View,CA,NA,NA,NA
Data Scientist,"
Diverse Lynx",NA,Santa Clara,CA,NA,NA,NA
Data Scientist Consultant,"
Diverse Lynx",NA,Santa Clara,CA,NA,NA,NA
Sr Data Analyst - Experient,"
Maritz Inc.",NA,Frederick,MD,NA,NA,NA
Sr. Machine Learning / Artificial Intelligence Engineer,"
LG Electronics",NA,Santa Clara,CA,NA,NA,NA
Senior Data Engineer,"
DISNEY",NA,San Jose,CA,NA,NA,NA
Senior Data Scientist and AI Engineer,"
LG Electronics",NA,Santa Clara,CA,NA,NA,NA
Principal Data Scientist - Predictive and Prescriptive Analytics,"
Verizon",NA,Irving,TX,NA,NA,NA
Data Scientist,"
First ",NA,Jersey City,NJ,NA,NA,NA
IBM Data Scientist: Apprentice,"
IBM",NA,Research Triangle Park,NC,NA,NA,NA
Data Science Intern,NA,NA,La Jolla,CA,NA,NA,NA
Data Analyst,"
Honda R&D Americas, Inc.",NA,Raymond,OH,NA,NA,NA
Intern-Data Science,"
Palo Alto Networks",NA,Santa Clara,CA,NA,NA,NA
Data Science Administrator,"
City of Santa Monica",NA,Santa Monica,CA,NA,NA,NA
Predictive Analytics and Data Science,"
Citi",NA,Tampa,FL,NA,NA,NA
Sr Data Analyst - Experient,"
Experient",NA,Frederick,MD,NA,NA,NA
Data Analyst / Data Scientist,NA,NA,New York,NY,NA,NA,NA
"VP Data Science -Artificial Intelligence, Machine Learning, Incubator Team","
Fidelity Investments",NA,Merrimack,NH,NA,NA,NA
Data Analyst,"
iCIMS",NA,Holmdel,NJ,NA,NA,NA
Data Scientist Assistant Intern,"
American Institutes for Research",NA,Washington,DC,NA,NA,NA
Data Scientist,"
McAfee",NA,Santa Clara,CA,NA,NA,NA
Data Scientist,"
Huawei",NA,Santa Clara,CA,NA,NA,NA
Data Scientist,"
Teradata",NA,Santa Clara,CA,NA,NA,NA
Junior Data Scientist/Visualist,"
OGSystems",NA,Washington,DC,NA,NA,NA
Data Scientist (Royalty Analytics),"
Spotify",NA,New York,NY,NA,NA,NA
Data Scientist,"
Lawrence Livermore National Laboratory (LLNL)",NA,Livermore,CA,NA,NA,NA
Data Scientist,"
Workbridge Associates",NA,New York,NY,NA,NA,NA
Data Analyst/Data Scientist,"
Jobspring Partners",NA,Frederick,MD,NA,NA,NA
Machine Learning- Data Science,"
TEKSystems",NA,New York,NY,NA,NA,NA
"Principal Machine Learning Scientist, Digital Practice","
Nordstrom",NA,Seattle,WA,NA,NA,NA
Machine Learning Engineer,"
TEKSystems",NA,New York,NY,NA,NA,NA
Data Scientist,"
Walmart eCommerce",NA,Sunnyvale,CA,NA,NA,NA
2018 College Intern Data Analytics - COE (Business Facing),"
Northrop Grumman",NA,McLean,VA,NA,NA,NA
Machine Learning Specialist,"
Express Scripts",NA,Franklin Lakes,NJ,NA,NA,NA
Senior Quantitative Researcher/Data Scientist,"
UBS",NA,New York,NY,NA,NA,NA
Data Scientist,"
Hertz",NA,Estero,FL,NA,NA,NA
Machine Learning Intern (Summer 2018),"
Philips Lighting",NA,Cambridge,MA,NA,NA,NA
Esports Data Science Intern,NA,NA,Washington,DC,NA,NA,NA
Senior Machine Learning Data Scientist/Engineer,"
TEKSystems",NA,New York,NY,NA,NA,NA
Machine Learning Researcher Intern,"
Amazon.com",NA,Seattle,WA,NA,NA,NA
"IT Intern, Dynamics AX Data Analyst - Summer","
Genuine Parts Company",NA,Atlanta,GA,NA,NA,NA
Machine Learning engineer,"
Techgene Solutions LLC",NA,San Jose,CA,NA,NA,NA
Java / Python AI NLP Engineer,"
Matrix Resources",NA,Concord,CA,NA,NA,NA
Sr. Developer – Machine Learning/Deep Learning,NA,NA,Orlando,FL,NA,NA,NA
Sr. Machine Learning / Artificial Intelligence Engineer,NA,NA,Westport,CT,NA,NA,NA
"Data Scientist, Platform Optimization",NA,NA,New York,NY,NA,NA,NA
NLP/ML Data Analytics Technical Architect,NA,NA,Sunnyvale,CA,NA,NA,NA
Machine Learning Engineer,NA,NA,Santa Clara,CA,NA,NA,NA
Data Scientist,NA,NA,Santa Monica,CA,NA,NA,NA
Data Scientist,NA,NA,Santa Monica,CA,NA,NA,NA
Senior Machine Learning Engineer,NA,NA,San Francisco,CA,NA,NA,NA
Senior Data Scientist,"
Accolite Inc",NA,Orlando,FL,NA,NA,NA
Computer Vision/Machine Learning Software Developer,NA,NA,Lowell,MA,NA,NA,NA
"Junior Data Analyst (SQL, Tableau)",NA,NA,Frederick,MD,NA,NA,NA
Machine Learning/Deep Learning consultant,NA,NA,Orlando,FL,NA,NA,NA
Python Engineer - Data Science,"
ConsumerTrack",NA,El Segundo,CA,NA,NA,NA
Python Engineer - Data Science,"
ConsumerTrack",NA,El Segundo,CA,NA,NA,NA
NLP/ML Data Analytics Technical Architect,NA,NA,Sunnyvale,CA,NA,NA,NA
Machine Learning Engineer,NA,NA,Santa Clara,CA,NA,NA,NA
Data Scientist,NA,NA,Santa Monica,CA,NA,NA,NA
Data Scientist,NA,NA,Santa Monica,CA,NA,NA,NA
Python Engineer - Data Science,"
ConsumerTrack",NA,El Segundo,CA,NA,NA,NA
Senior Machine Learning Engineer,NA,NA,San Francisco,CA,NA,NA,NA
NLP/ML Data Analytics Technical Architect,NA,NA,Sunnyvale,CA,NA,NA,NA
Machine Learning Engineer,NA,NA,Santa Clara,CA,NA,NA,NA
Data Scientist,NA,NA,Santa Monica,CA,NA,NA,NA
Data Scientist,NA,NA,Santa Monica,CA,NA,NA,NA
Python Engineer - Data Science,"
ConsumerTrack",NA,El Segundo,CA,NA,NA,NA
Senior Machine Learning Engineer,NA,NA,San Francisco,CA,NA,NA,NA
NLP/ML Data Analytics Technical Architect,NA,NA,Sunnyvale,CA,NA,NA,NA
Machine Learning Engineer,NA,NA,Santa Clara,CA,NA,NA,NA
Data Scientist,NA,NA,Santa Monica,CA,NA,NA,NA
Data Scientist,NA,NA,Santa Monica,CA,NA,NA,NA
Python Engineer - Data Science,"
ConsumerTrack",NA,El Segundo,CA,NA,NA,NA
Senior Machine Learning Engineer,NA,NA,San Francisco,CA,NA,NA,NA
NLP/ML Data Analytics Technical Architect,NA,NA,Sunnyvale,CA,NA,NA,NA
Machine Learning Engineer,NA,NA,Santa Clara,CA,NA,NA,NA
Data Scientist,NA,NA,Santa Monica,CA,NA,NA,NA
Data Scientist,NA,NA,Santa Monica,CA,NA,NA,NA
Senior Machine Learning Engineer,NA,NA,San Francisco,CA,NA,NA,NA
Data Science Intern,"
Intel",NA,Phoenix,AZ,NA,NA,NA
Big data hadoop developer-Spark,NA,NA,Sunnyvale,CA,NA,NA,NA
Big Data Engineer,NA,NA,Sunnyvale,CA,NA,NA,NA
Big Data Engineer,"
CapTech Consulting",NA,Reston,VA,NA,NA,NA
Big Data Engineer,NA,NA,Reston,VA,NA,NA,NA
Sr. Data Architect/Big Data Engineer,"
Seagate",NA,Bloomington,MN,NA,NA,NA
Big Data Engineer,NA,NA,Reston,VA,NA,NA,NA
Data Engineer,"
ViaSat",NA,Austin,TX,NA,NA,NA
Big Data Engineer,"
Zscaler",NA,Atlanta,GA,NA,NA,NA
Big Data Engineer,"
KPMG",NA,Atlanta,GA,NA,NA,NA
Data Engineer,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Data Analyst,"
JP Morgan Chase",NA,Wilmington,DE,NA,NA,NA
Big Data Engineer,NA,NA,Palo Alto,CA,NA,NA,NA
Data Analyst,"
Undertone",NA,New York,NY,NA,NA,NA
Data Analyst,"
Limeade",NA,Bellevue,WA,NA,NA,NA
Big Data Engineer,"
Equifax",NA,Alpharetta,GA,NA,NA,NA
Hadoop SRE,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Big Data Engineer,"
UnitedHealth Group",NA,Eden Prairie,MN,NA,NA,NA
Big Data/Hadoop Developer,"
Synechron",NA,Charlotte,NC,NA,NA,NA
Data Scientist-Entry Level,"
Spring Venture Group",NA,Kansas City,MO,NA,NA,NA
Big Data Engineer,"
IBM",NA,Austin,TX,NA,NA,NA
Apple Media Products - Big Data Engineer,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Big Data Engineer,NA,NA,New York,NY,NA,NA,NA
Big Data Engineer,"
Capgemini",NA,New York,NY,NA,NA,NA
Data Science Development Program- Junior Data Scientist,"
MassMutual",NA,Amherst,MA,NA,NA,NA
"Big Data ( Hadoop, SQL) Developer","
Bank of America",NA,Plano,TX,NA,NA,NA
"Data Analyst, Trust and Safety","
Google",NA,Sunnyvale,CA,NA,NA,NA
Data Engineer- Data Engineering and Emerging Technology,"
Takeda Pharmaceutical",NA,Cambridge,MA,NA,NA,NA
Big Data Engineer,"
CGI",NA,Bloomfield,CT,NA,NA,NA
Big Data Engineer,"
United Airlines Inc.",NA,Houston,TX,NA,NA,NA
Big Data Engineer,"
HP",NA,Houston,TX,NA,NA,NA
Big Data Engineer,"
Wish",NA,San Francisco,CA,NA,NA,NA
Full Stack Software Engineer - RESTful APIs and Big Data,"
JP Morgan Chase",NA,New York,NY,NA,NA,NA
Big Data Engineer,"
Works",NA,Reston,VA,NA,NA,NA
Data Engineer,"
GEICO",NA,Chevy Chase,MD,NA,NA,NA
Big Data Engineer,NA,NA,Alexandria,VA,NA,NA,NA
Data Analyst,"
Microsoft",NA,Redmond,WA,NA,NA,NA
"Big Data Engineer - Hadoop, Hive, Spark","
CVS Health",NA,Richardson,TX,NA,NA,NA
Teradata ETL Application Developer,"
Bank of America",NA,Plano,TX,NA,NA,NA
Big Data Engineer,"
SAP",NA,South San Francisco,CA,NA,NA,NA
Big Data Engineer,"
SparkCognition",NA,Austin,TX,NA,NA,NA
Big Data Engineer,"
Symphony Talent",NA,New York,NY,NA,NA,NA
Data Analytics Developer,"
Lockheed Martin",NA,Fort Worth,TX,NA,NA,NA
Big Data Engineer,"
Clarivate Analytics",NA,Philadelphia,PA,NA,NA,NA
Big Data Engineer,"
Cengage",NA,Boston,MA,NA,NA,NA
Data Science Engineer,"
Adobe",NA,San Jose,CA,NA,NA,NA
Big Data Engineer,NA,NA,Boston,MA,NA,NA,NA
Applications Developer or Digital Analytics/Data Analyst,"
Sprint",NA,Overland Park,KS,NA,NA,NA
Tableau Developer - Big Data Digital DS,"
JP Morgan Chase",NA,San Francisco,CA,NA,NA,NA
Big Data Analyst - Developer,"
PowerAdvocate, Inc",NA,Boston,MA,NA,NA,NA
Big Data Engineer,NA,NA,Chantilly,VA,NA,NA,NA
Big Data / ETL Software Engineer,"
JP Morgan Chase",NA,Plano,TX,NA,NA,NA
Data Engineer,"
Spotify",NA,New York,NY,NA,NA,NA
Data Science Engineer,"
UnitedHealth Group",NA,Eden Prairie,MN,NA,NA,NA
"GeoPython Developer, Geospatial Big Data Solutions","
DigitalGlobe",NA,Westminster,CO,NA,NA,NA
Data Engineer,"
Bank of America",NA,Charlotte,NC,NA,NA,NA
Business Intelligence & Data Analytics Manager,"
Swiftpage",NA,Scottsdale,AZ,NA,NA,NA
Quantitative Researcher (Machine Learning),NA,NA,Greenwich,CT,NA,NA,NA
Big Data/Hadoop Engineer,"
Rhapsody",NA,Seattle,WA,NA,NA,NA
Big Data Engineer,"
Realogy Corporate",NA,Emeryville,CA,NA,NA,NA
"Data Analytics Developer, Location Intelligence","
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Jr Level Data Analyst,"
Leidos",NA,Reston,VA,NA,NA,NA
Big Data Engineer,"
Prudential",NA,Newark,NJ,NA,NA,NA
Data Science Engineer,"
UPMC",NA,Pittsburgh,PA,NA,NA,NA
Machine Learning Software Engineer,"
Lenovo",NA,Raleigh,NC,NA,NA,NA
Data Scientist/Data Wrangler,"
Lenovo",NA,Raleigh,NC,NA,NA,NA
Machine Learning Engineer (Natural Language),NA,NA,Pittsburgh,PA,NA,NA,NA
BIG DATA ENGINEER,"
Moffitt Cancer Center",NA,Tampa,FL,NA,NA,NA
"Software Engineer/Data Scientist, NLP","
Twitter",NA,San Francisco,CA,NA,NA,NA
Machine Learning Software Dev Engineer,"
Amazon Corporate LLC",NA,Palo Alto,CA,NA,NA,NA
Business Analyst / Data Scientist,"
Credit Suisse",NA,New York,NY,NA,NA,NA
Machine Learning Software Engineer Intern,"
Raytheon",NA,Sunnyvale,CA,NA,NA,NA
Data Scientist Intern (Summer 2018),"
Electronic Arts",NA,Redwood City,CA,NA,NA,NA
Machine Learning Engineer,"
Lenovo",NA,Raleigh,NC,NA,NA,NA
"Machine Learning Researcher, Platform Architecture","
Apple",NA,Seattle,WA,NA,NA,NA
Data Science Engineer,"
LendingTree",NA,Charlotte,NC,NA,NA,NA
VIE - IoT and Big Data Engineer - Andover H/F,"
Schneider Electric",NA,Andover,MA,NA,NA,NA
Hadoop Developer,NA,NA,Beaverton,OR,NA,NA,NA
Data Analyst,"
Dassault Falcon Jet",NA,Little Rock,AR,NA,NA,NA
Data Analyst,"
healthgrades",NA,Denver,CO,NA,NA,NA
Big Data Engineer II,"
Amazon.com",NA,Palo Alto,CA,NA,NA,NA
Data Scientist - Entry/Mid-Level,"
National Security Agency",NA,Fort Meade,MD,NA,NA,NA
Data Engineer (ETL),"
C.H. Robinson",NA,Eden Prairie,MN,NA,NA,NA
Hadoop Developer,"
FutureNet Group, Inc",NA,Dearborn,MI,NA,NA,NA
Data Analyst,"
Pattern Energy",NA,Houston,TX,NA,NA,NA
Data Engineer,"
The Kraft Group",NA,Foxborough,MA,NA,NA,NA
Big Data / Hadoop – Database Developer 2,"
Epsilon",NA,Broomfield,CO,NA,NA,NA
Big Data / Hadoop – Database Developer 2,"
AllianceData",NA,Broomfield,CO,NA,NA,NA
Data Scientist Intern (Summer 2018),"
Electronic Arts",NA,Redwood City,CA,NA,NA,NA
Data Engineer,"
Transamerica",NA,Plano,TX,NA,NA,NA
Data Analyst,"
Leidos",NA,Reston,VA,NA,NA,NA
Data Engineer,"
Sportradar",NA,Menlo Park,CA,NA,NA,NA
Data Engineer,NA,NA,Menlo Park,CA,NA,NA,NA
Big Data Engineer,"
MONSANTO",NA,St. Louis,MO,NA,NA,NA
Data Analyst,"
MultiView, Inc.",NA,Irving,TX,NA,NA,NA
Hadoop Developer,NA,NA,Plano,TX,NA,NA,NA
Data Analyst,"
Honda R&D Americas, Inc.",NA,Raymond,OH,NA,NA,NA
Data Engineer - Big Data & Spark,"
Savi Technology",NA,Alexandria,VA,NA,NA,NA
Data Scientist Intern - New Ventures Campus,"
McKinsey & Company",NA,Atlanta,GA,NA,NA,NA
Data Science Engineer,NA,NA,Chicago,IL,NA,NA,NA
"Sr. Manager, Analytics & Data Science","
Volkswagen Group of America, Inc.",NA,Herndon,VA,NA,NA,NA
Data Science Engineer,"
Salesforce",NA,Palo Alto,CA,NA,NA,NA
Data Science Engineer,"
Salesforce",NA,Palo Alto,CA,NA,NA,NA
Software Engineer - Machine Learning,"
Yelp",NA,San Francisco,CA,NA,NA,NA
Maps Search - Engineer/Data Scientist,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Data Scientist,"
The Boston Consulting Group",NA,New York,NY,NA,NA,NA
Software Engineer II - Machine Learning,"
Jet Propulsion Laboratory",NA,Pasadena,CA,NA,NA,NA
"Research Scientist, Machine Learning / Artificial Intelligence","
Disney Parks & Resorts",NA,Glendale,CA,NA,NA,NA
Machine Learning Engineer - Intern,"
FactSet Research Systems",NA,New York,NY,NA,NA,NA
"Machine Learning Engineer, Amazon AI","
Amazon Web Services, Inc.",NA,Palo Alto,CA,NA,NA,NA
Machine Learning Engineer,NA,NA,Palo Alto,CA,NA,NA,NA
DATA SCIENTIST 2,"
Microsoft",NA,Redmond,WA,NA,NA,NA
Machine Learning Engineer,"
Apple",NA,Cambridge,MA,NA,NA,NA
Junior Data Scientist,"
SAP",NA,Palo Alto,CA,NA,NA,NA
Machine Learning Engineer,"
FactSet Research Systems",NA,Austin,TX,NA,NA,NA
Machine Learning Scientist,"
Microsoft",NA,Redmond,WA,NA,NA,NA
Data Science Research & Development - Internship,NA,NA,Chicago,IL,NA,NA,NA
Data Science Engineer,NA,NA,San Francisco,CA,NA,NA,NA
Data Science Engineer,"
Autodesk",NA,San Francisco,CA,NA,NA,NA
Healthcare & Life Sciences - Data Scientist,"
KPMG",NA,Atlanta,GA,NA,NA,NA
"Research Scientist, Machine Learning and Intelligence","
Google",NA,Mountain View,CA,NA,NA,NA
Machine Learning Engineer,"
Cisco",NA,San Jose,CA,NA,NA,NA
Associate - Cognitive Data Scientist Natural Language Processing,"
KPMG",NA,Chicago,IL,NA,NA,NA
Maps Search and Machine Learning Engineer/Scientist,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
"Data Scientist, Population and Survey Sciences","
Facebook",NA,Menlo Park,CA,NA,NA,NA
Machine Learning Engineer,"
Novetta",NA,Tampa,FL,NA,NA,NA
Machine Learning Engineer,"
Twitter",NA,San Francisco,CA,NA,NA,NA
Machine Learning Infrastructure Engineer,"
Twitter",NA,San Francisco,CA,NA,NA,NA
Machine Learning Engineer (Recommendation/Text/Deep Learning),NA,NA,San Francisco,CA,NA,NA,NA
Machine Learning Engineer,NA,NA,Pasadena,CA,NA,NA,NA
Data Scientist,"
Bank of America",NA,Charlotte,NC,NA,NA,NA
"Software Firmware Engineer, Google Hardware Machine Learning","
Google",NA,Mountain View,CA,NA,NA,NA
"Software Engineer, Machine Learning","
Google",NA,Mountain View,CA,NA,NA,NA
"Data Scientist Research Intern - FLA - Sunnyvale, CA","
Fujitsu",NA,Sunnyvale,CA,NA,NA,NA
"Data Scientist, Analytics","
Change Healthcare",NA,Alpharetta,GA,NA,NA,NA
"Associate, Data Scientist - Government","
KPMG",NA,Washington,DC,NA,NA,NA
Machine Learning Modeling Engineer,"
Corning",NA,Corning,NY,NA,NA,NA
Data Scientist - Taxonomy,"
Clarivate Analytics",NA,Philadelphia,PA,NA,NA,NA
"Associate, Data Scientist","
KPMG",NA,Washington,DC,NA,NA,NA
RQN045- Data Scientist,"
Virginia Tech Applied Research Corporation",NA,Arlington,VA,NA,NA,NA
Artificial Intelligence - Machine Learning Eng,"
Intel",NA,San Francisco,CA,NA,NA,NA
Senior Principal Data Engineer,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Data Scientist (Temp-to-Hire),NA,NA,Charlotte,NC,NA,NA,NA
"Software Engineer, Cloud Machine Learning","
Google",NA,Mountain View,CA,NA,NA,NA
Machine Learning Cloud Consultant,"
Google",NA,Mountain View,CA,NA,NA,NA
Machine Learning Scientist,"
Huawei",NA,Santa Clara,CA,NA,NA,NA
Actuarial Data Scientist,"
MassMutual",NA,New York,NY,NA,NA,NA
Big Data Scientist- Machine Learning/AI Programming,"
Humana",NA,Irving,TX,NA,NA,NA
Data Scientist- NLP,NA,NA,Santa Clara,CA,NA,NA,NA
Graduate Data Scientist,NA,NA,San Jose,CA,NA,NA,NA
Data Scientist,NA,NA,New York,NY,NA,NA,NA
Data Scientist,"
Best Buy",NA,Richfield,MN,NA,NA,NA
Machine Learning Engineer,NA,NA,Herndon,VA,NA,NA,NA
Software Engineer Machine Learning,"
Intecon",NA,Pasadena,CA,NA,NA,NA
ML Data Scientist,"
eviCore healthcare",NA,Boston,MA,NA,NA,NA
Graduate Data Scientist,"
ARM",NA,San Jose,CA,NA,NA,NA
Data Scientist - 1219757,"
Cisco",NA,San Jose,CA,NA,NA,NA
Associate Data Scientist,"
Highmark Health",NA,Pittsburgh,PA,NA,NA,NA
Machine Learning Scientist,"
Adobe",NA,San Jose,CA,NA,NA,NA
Data Scientist,"
SAP",NA,Palo Alto,CA,NA,NA,NA
"Data Scientist, Machine Learning & AI","
Etsy",NA,San Francisco,CA,NA,NA,NA
R&D Data Engineer,NA,NA,New York,NY,NA,NA,NA
Research Scientist (Machine Learning),"
NVIDIA",NA,Westford,MA,NA,NA,NA
Natural Language Processing Data Engineer,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Data Scientist Mentor,"
Excella Consulting",NA,Blacksburg,VA,NA,NA,NA
17-18 Campus - Machine Learning Engineer,"
TripAdvisor",NA,Needham,MA,NA,NA,NA
Data Scientist,NA,NA,Florianópolis,SC,NA,NA,NA
Data Scientist,NA,NA,Florianópolis,SC,NA,NA,NA
Analista Desenvolvedor Data Scientist,NA,NA,Florianópolis,SC,NA,NA,NA
Data Scientist,NA,NA,Florianópolis,SC,NA,NA,NA
>>>>>>> Viv
